geoid,pop,gravity_doc,fca_doc,fca60_doc,fca90_doc,2sfca_doc,2sfca30_doc,2sfca60_doc,g2sfca_doc,3sfca_doc,raam_doc,raam30_doc
17031301701,4381,13968.97997528586,0.0011569769643604486,0.00093440329858095,0.0008944733814517282,0.001090605988418776,0.0012507832136574213,0.0012176046250944098,0.0012802879199284045,0.0010325829671428495,1.07469886855261,1.0922353846669928
17031301702,4045,13849.216917808337,0.0011620222900377937,0.0009382849951141648,0.0008956061504710908,0.0010774877585629458,0.0012249936526343374,0.0012230671431414375,0.001277394812464461,0.0009486860867213291,1.0910541155032403,1.1212776133362357
17031301801,4005,12739.511376260321,0.0012126684326772862,0.0009375762495542334,0.0008957571395989658,0.0010692081146860587,0.0010172450844867572,0.0011547393644321452,0.0011377816472468963,0.0009615292656360643,1.1337815854242896,1.191386087016183
17031301802,3518,13810.881397213501,0.0011585574735999966,0.0009369034838180932,0.0008939860314682583,0.0010840632639799533,0.0010578868551270081,0.0011830573581586015,0.0012120626656730268,0.0009159584709163138,1.0686066661685827,1.1189716999627388
17031301803,5357,12875.132957682265,0.0011624145177631968,0.0009456423375837295,0.0008968444681498053,0.0010611619724675227,0.0010367069659147597,0.0011706411237250426,0.0011742013657618504,0.000925202807216972,1.1312125144673937,1.2296321384885218
17031310200,1336,17345.43231606681,0.0010675736119433216,0.0009361602023921955,0.000896702598657821,0.0011831905327010853,0.002128462258708613,0.0015387959521122648,0.001819285516456779,0.001179065583058004,1.0195955630357978,0.9516210072101813
17031310300,1697,16374.45936569398,0.001082280308522594,0.0009432698369100731,0.0008961701520426068,0.001161991661797256,0.0018519166163229735,0.0014596452768137036,0.0016908849148745105,0.001100634680737499,0.9963206576422132,0.9806388109972863
17031310400,1332,16033.33838387958,0.0010729960042374735,0.0009465802387105825,0.0008961701520426068,0.0011504376116824007,0.0017155548906793556,0.0014368622157205622,0.001627854476378061,0.0010716784946485304,0.9979076470053639,1.002677483726684
17031310500,1700,15666.806153043051,0.001096843511513121,0.0009513245123572586,0.0008970286626645004,0.001145684777850654,0.001573850495602941,0.0013842454837337261,0.0015500900805985721,0.001035958763292961,0.9756210536599215,0.9639586656165992
17031310600,5868,16339.297401591462,0.0011071282978967348,0.0009560410952402184,0.0008970286626645004,0.0011331599564211496,0.0014141106754784593,0.001321137912117973,0.0014547097731825464,0.0010085185205975674,0.9368577889203491,0.9069463447722146
17031310700,1692,15086.223642214814,0.0011188464517257852,0.0009520801838174324,0.0008979305664425563,0.0011030755930229882,0.0013965694575266226,0.001261391585473637,0.0013614661271359265,0.0011467770713631728,1.0001769325522996,0.8945835830931356
17031310800,4516,15801.768520514403,0.001119925873523748,0.0009458597206341452,0.0008972287293987619,0.001100178399080539,0.0015039349742016898,0.0012861282205465518,0.0014169456742465318,0.0011605533643659145,0.9617211988026299,0.8483243271119059
17031310900,5123,16011.802380314697,0.001119735091732144,0.0009458027741443069,0.0008972287293987619,0.001119329360230334,0.00150542316324121,0.001275340112709754,0.0014134527082006127,0.00123341781863186,0.9457036974156042,0.8230196940319208
17031320100,10848,19776.098175625004,0.0011374861920125355,0.0009610750052308358,0.0008970286626645004,0.0011184796475616477,0.00173542830876097,0.001344366025075624,0.0015105620169949354,0.0013415097139628472,0.8898310011662848,0.5824313210211162
17031320400,2518,18198.724071644567,0.0011052421613915152,0.0009442963049129133,0.000896702598657821,0.001166124499222787,0.0020401935181842915,0.0014701113772621244,0.0017231573075113076,0.001373116800872329,0.8405091418821197,0.705988766081393
17031320600,4256,17602.003155411425,0.0010934978356284218,0.0009446637086718509,0.0008961701520426068,0.0011339390706461485,0.001966835536042135,0.0014327732727802821,0.0016302789676864047,0.0013863131819128207,0.9107092537590191,0.8159343166599851
17031330100,16735,15891.515399822314,0.0010963668982135282,0.0009572308714276124,0.0008973848248047892,0.0010871423357193884,0.0017616748633292288,0.00130434283841,0.0014635573594521533,0.0013757469842971262,0.9231533168462337,0.9118797076057555
17031330200,3806,16221.938620598112,0.0010833739568251104,0.000950664007385775,0.0008970286626645004,0.001145684777850654,0.0016503698794539342,0.0014071466767834773,0.0016052661025854184,0.001065629083287445,0.9660188519804317,0.8952901282643495
17031340300,1786,15506.788398437522,0.0010871976038818218,0.0009549490908124582,0.0008970286626645004,0.0011451614571084177,0.0016820864794733655,0.0013932573430701072,0.001577252250323915,0.00105918511914591,1.0586128300213016,1.1221777596489622
17031340400,1900,15558.543269208347,0.0010815359107776135,0.0009502208488914351,0.0008970286626645004,0.001145684777850654,0.0017047556989110834,0.0013962199041704414,0.0015925537772254472,0.0010615066529106195,1.0722212391281092,1.1332516349380493
17031340500,1544,15872.01260803717,0.001054137122184741,0.0009474356527977451,0.0008961701520426068,0.0011480786866821017,0.0017369200346752044,0.001436206670724979,0.0016515609514867519,0.0010303067452359011,1.0333782426607903,1.0656410394699243
17031340600,907,14636.056397469041,0.0010695753831469835,0.0009507252794312254,0.0008973848248047892,0.0011030996379484761,0.001564593231161828,0.0013249271721185623,0.0014760338212510729,0.001004189246482717,1.107818036611053,1.1784862410306283
17031350100,2144,15233.17610960374,0.0011132308870969766,0.0009543553212917834,0.0008973848248047892,0.0010935956274557596,0.0015075976860810158,0.0012751222146005353,0.0014231248021461481,0.001119437843636365,0.9424980549608052,0.9547139028151421
17031350400,389,15967.822178085575,0.0010891850097883434,0.0009541203127733678,0.0008970286626645004,0.001145684777850654,0.0016925223312357247,0.0014092199178861824,0.0015824411737162798,0.001083158138474804,1.010659603188974,0.9261538103738919
17031351000,3267,14173.37536618742,0.001104239677551054,0.000954715828267679,0.0008972287293987619,0.0010498704430703767,0.0013450060767645803,0.001204684736617692,0.001312515429303687,0.0011030250821637878,1.0061210861740564,1.0848510295642164
17031351100,1960,12933.642464172746,0.001218935979316313,0.0009586708257848514,0.0008970875717547932,0.0010119220164345256,0.0011111836645984708,0.0010979047232320214,0.0011318488527607498,0.0010349033818549073,1.064504130770739,1.1906406709189117
17031351400,1437,14639.150119902517,0.0010728589743181898,0.0009515266159478672,0.0008973848248047892,0.0010954200455849086,0.0015041442991317376,0.0012893412777566118,0.001431882360032045,0.001052545225419447,1.028727780974981,1.1084338736673183
